List of policy events in Germany related to coal,,,,,,
year,period,policy event,short label,"explanation, legislation",type of event,scope
1951,1,Creation of the European Coal and Steel Community,Creation of the ECSC,,international treaty,international
1957,3,European Economic Community,European Economic Community,,international treaty,international
1965,5,Law to ensure German hard coal use in power generation,1. Verstromungsgesetz,1. Verstromungsgesetz,legislation,national
1971,6,First environmental program,First environmental program,Umweltprogramm,government policy,national
1974,7,Introduction of “Kohlepfennig”,Kohlepfennig,"extra charge on electricity for coal mined Germany, 3. Verstromungsgesetz",legislation,national
1974,7,Pollution control law,Pollution control law,Bundes-Immissionsschutzgesetz,legislation,national
1980,9,Jahrhundertvertrag,Jahrhundertvertrag,treaty between electricity utilities and mining to increase use of German hard coal,government policy,national
1983,10,Entry of green party in parliament,Green party enters parliament,,parliamentary event,national
1986,10,Chernobyl nuclear disaster,Chernobyl nuclear disaster,,international event,international
1986,10,Creation of the federal environmental ministry,Federal environmental ministry,,government policy,national
1990,10,German reunification,German reunification,,national event,national
1992,12,Rio Conference,Rio Conference,,international event,international
1994,12,UNFCCC,UNFCCC,United Nations Framework Convention on Climate Change,international treaty,international
1997,13,Hard coal mining subsidies,Hard coal mining subsidies,"Steinkohlebeihilfengesetz, hard coal subsidies",legislation,national
1997,13,Kyoto protocol,Kyoto protocol,,international treaty,international
2000,14,EEG,EEG,Erneuerbare-Energien-Gesetz implementing renewables feed-in-tarifs,legislation,national
2000,14,Decision on nuclear phase-out,Nuclear phase-out decision,Atomausstiegsgesetz (2002),legislation,national
1999,14,Eco tax,Eco tax,Gesetz zum Einstieg in die ökologische Steuerreform,legislation,national
2005,15,EU ETS,EU ETS,European Emissions Trading Scheme,EU legislation,international
2007,16,Hard coal subsidy phase-out,Coal subsidy phase-out,Steinkohlefinanzierungsgesetz,legislation,national
2011,17,Fukushima nuclear disaster,Fukushima,,international event,international
2011,17,Atom-Moratorium,Atom-Moratorium,Withdrawal of  the extension of the run-time of nuclear power plants,legislation,international
2015,18,Paris agreement,Paris agreement,,international treaty,international
2016,18,Climate action plan,Climate action plan,National strategy to meet the targets of the Paris agreement: Klimaschutzplan 2050,government policy,national
2019,19,Coal commission,Coal commission,"Kommission für Wachstum, Strukturwandel und Beschäftigung",government policy,national
