surname,first_name,handle,related handles,hashtags,role,position
Platzeck,Matthias,,,,chairperson,ehem. Ministerpräsident Brandenburg
Pofalla,Ronald,,@DB_Presse,,chairperson,"Vorstand dt. Bahn, ehem. Bundesminister"
Praetorius,Barbara,@BaraPraetorius,,,chairperson,"Professorin, ehem. Agora Energiewende"
Tillich,Stanislaw,,,,chairperson,ehem. Minsterpräsident Sachsen
Hasselfeldt,Gerda,,@roteskreuz_de,,industry,Präsidentin DRK
Kampeter,Steffen,,@DieBDA,#SteffenKampeter,industry,Hauptgeschäftsführer BDA
Kapferer,Stefan,,@bdew_ev,,industry,Vorsitzender BDEW
Kempf,Dieter,,@Der_BDI,,industry,Präsident BDI
Nemat,Claudia,@claudianemat,@deutschetelekom,,industry,Vorstand Telekom
Reiche,Katherina,,@VKUonline,,industry,Hauptgeschäftsführerin Verband Kommunaler Unternehmen
Röstel,Gunda,,,,industry,Geschäftsführerin Stadtentwässerung Dresden
Schweitzer,Eric,,@DIHK_News,,industry,Präsident DIHT
Grothus,Antje,,@BuirerFuerBuir,,regions,Buirer für Buir
Wodtke,Hannelore,,,#HanneloreWodtke,regions,Grüne Zukunft Welzow
Herntier,Christine,@ChristineHernt1,,,regions,Bürgermeisterin Spremberg
Kreuzberg,Michael,,,,regions,Landrat Rhein-Erft-Kreis
Priggen,Reiner,,@LEE_NRW,#ReinerPriggen,regions,Erneuerbare Energien Nordrhein-Westfalen
Vassiliadis,Michael,,@igbce,#Vassiliadis,unions,Vorsitzender IG BCE
Scheidt,Andreas,, @_verdi,,unions,Verdi
Körzell,Stefan,@SKoerzell,@dgb_news,,unions,DGB
Kaiser,Martin,@martinkaisergp,@Greenpeace,,environmental association,Greenpeace
Weiger,Hubert,@HubertWeiger,@bund_net,,environmental association,BUND
Niebert,Kai,@kainiebert,@naturschutzring,,environmental association,DNR
Allmendinger,Jutta,,@WZB_Berlin,,science,WZB
Matthes,Felix,@felixmatthes,@oekoinstitut,,science,Öko-Institut
Schellnhuber,Hans Joachim,,@PIK_Climate,#schellnhuber,science,PIK
Niebuhr,Annekathrin,,,,science,Uni Kiel
Wehrspohn,Ralf,,@Presse_IMWS,,science,Fraunhofer Werkstoffe
,,,,,,
without voting rights,,,,,,
Lämmel,Andreas,@AndreasLaemmel,@cducsubt,,politics,CDU
Lenz,Andreas,@DerLenzMdB,,,politics,CSU
Miersch,Matthias,,@spdbt,,politics,SPD
,,,,,,
sum,31,10,22,,,
